ball_1_x,ball_1_y,ball_2_x,ball_2_y,ball_3_x,ball_3_y,ball_4_x,ball_4_y,ball_5_x,ball_5_y
107,256,156,190,143,96,183,342,202,156
105,270,158,181,142,94,181,329,203,163
104,284,159,173,141,93,179,315,206,170
103,294,161,166,139,92,177,299,207,177
104,303,164,159,138,92,176,286,209,186
104,312,165,153,137,93,174,272,211,195
105,321,167,147,136,94,172,259,212,204
106,331,169,141,135,96,171,247,214,214
112,342,171,136,134,97,168,233,216,225
114,348,173,132,133,100,167,221,217,237
117,353,174,128,132,103,164,210,219,248
118,356,176,124,130,107,163,200,221,260
121,360,178,122,130,111,162,190,223,272
122,360,179,119,128,116,159,180,224,282
124,358,182,118,127,121,158,171,224,289
126,355,183,116,126,126,156,162,224,295
131,353,185,115,125,132,154,155,224,300
134,342,186,116,124,139,153,148,223,307
136,329,188,116,122,147,151,140,222,311
138,313,190,116,121,155,149,134,219,316
139,297,192,118,120,164,147,128,218,320
141,282,193,119,119,173,145,123,216,323
147,269,196,122,117,182,145,119,215,326
146,255,197,125,116,192,142,114,214,327
155,238,199,128,116,203,141,111,214,329
155,232,200,132,114,214,139,108,213,328
150,222,202,137,113,226,136,104,214,327
151,213,203,141,112,239,135,102,215,326
153,202,205,147,111,252,133,101,216,324
154,192,207,153,109,265,131,99,218,322
156,182,209,160,108,280,130,99,219,318
158,172,210,166,101,287,128,98,222,317
159,163,212,174,107,292,127,99,225,314
160,155,214,182,106,296,124,101,228,312
162,147,215,191,105,298,123,102,230,310
163,140,217,200,104,302,121,103,233,309
164,133,219,210,104,304,119,106,236,309
167,127,221,220,95,313,118,110,238,308
167,121,223,231,97,310,116,113,241,308
168,117,224,242,95,311,114,117,242,308
171,112,226,255,94,312,112,122,244,308
172,108,228,267,92,312,110,127,246,309
173,105,229,280,90,312,109,132,246,309
174,102,231,294,88,312,106,138,246,311
176,99,231,307,84,313,105,145,246,312
177,98,229,311,82,312,103,152,246,314
178,96,228,313,79,312,101,160,245,317
180,95,225,315,77,312,100,169,243,319
181,95,224,317,74,312,97,177,242,321
182,95,222,319,73,312,96,187,241,322
184,95,220,320,71,313,93,196,239,323
186,97,217,321,69,313,92,207,238,323
186,99,216,321,67,313,90,218,236,324
188,101,215,321,65,315,88,229,234,323
189,103,214,321,63,316,86,241,233,323
190,107,212,321,61,317,84,254,232,323
191,111,212,321,61,318,82,267,230,322
193,114,209,321,61,318,80,281,229,320
194,119,208,320,61,318,78,295,229,320
195,125,208,319,62,321,78,312,229,319
197,130,209,318,63,324,79,316,228,317
198,137,207,317,64,326,80,320,228,316
199,144,207,317,65,327,80,321,228,316
201,151,208,316,66,330,82,324,228,314
202,159,209,314,67,332,82,326,228,313
203,168,209,314,68,334,83,328,228,312
204,177,210,313,70,335,83,329,229,311
207,185,210,312,70,336,83,330,229,310
207,196,210,312,71,337,85,332,229,310
208,207,210,312,74,338,86,333,229,310
210,218,210,312,74,339,87,333,230,310
212,229,210,312,75,339,88,333,230,310
212,242,210,313,77,339,89,334,230,310
214,255,210,313,78,339,90,334,230,311
215,268,210,314,80,339,91,334,230,311
216,282,210,316,81,339,92,334,229,311
217,297,208,316,82,339,92,334,229,311
217,306,208,322,83,339,93,334,228,312
212,310,206,319,83,339,93,334,227,313
212,312,206,322,84,339,94,334,226,315
214,313,206,323,85,339,94,334,226,316
214,315,205,325,85,339,94,334,226,318
213,316,205,325,85,339,94,334,226,319
213,317,206,326,86,339,94,334,227,319
213,317,206,326,85,339,95,334,226,320
213,317,206,326,85,338,95,334,226,320
213,317,206,326,85,338,95,334,226,319
213,317,206,326,86,338,95,334,226,319
213,317,206,326,86,337,96,334,227,319
213,317,206,326,87,337,96,334,227,319
214,317,206,325,87,337,96,334,227,319
214,316,206,325,87,337,96,333,228,318
215,316,206,325,86,337,96,333,228,318
215,316,206,325,87,337,95,334,228,318
215,316,206,325,87,337,95,334,228,317
215,316,206,325,87,337,95,334,229,317
215,316,206,325,87,337,94,334,229,318
215,316,206,325,87,337,94,334,229,318
216,316,206,325,86,337,93,334,229,318
215,317,206,325,85,337,93,334,229,318
216,317,206,325,85,337,93,335,229,318
216,317,206,325,84,337,92,335,230,318
217,317,207,325,83,338,91,336,230,318
216,317,206,325,83,338,91,336,230,319
217,317,206,325,83,338,91,336,229,319
222,316,206,325,83,339,92,337,229,318
220,317,205,326,84,340,92,337,228,318
220,316,205,327,85,340,92,337,226,318
218,315,202,328,86,340,93,337,225,317
216,315,201,328,88,341,93,337,222,317
215,314,200,328,91,342,95,338,220,317
212,314,197,329,94,342,99,339,217,316
209,314,196,329,98,342,103,339,215,316
206,314,193,329,103,343,106,339,212,316
202,314,192,329,108,343,109,339,210,316
199,314,188,329,112,344,114,340,207,316
197,313,186,329,116,344,118,340,203,316
194,313,183,328,121,344,122,340,201,316
190,314,180,328,125,344,126,339,198,316
186,315,178,329,128,344,129,339,194,316
183,315,174,329,131,344,131,339,190,316
179,316,180,334,134,344,135,339,187,317
175,316,176,334,136,344,137,339,184,317
173,317,172,334,138,344,140,339,181,317
170,317,169,335,140,344,140,339,179,318
169,318,167,336,142,344,143,339,176,319
166,318,165,337,144,344,144,338,175,319
164,320,163,338,145,344,146,339,173,320
162,321,162,338,146,343,146,338,171,321
161,321,160,338,147,343,144,336,171,321
156,335,160,339,148,342,144,336,169,321
156,335,160,340,147,341,144,335,168,322
156,336,160,340,147,340,143,335,167,322
156,337,160,341,147,341,143,335,167,322
156,337,160,340,147,342,142,336,167,322
156,336,170,338,147,343,143,337,167,322
156,336,169,337,147,343,143,338,167,322
155,336,169,336,146,344,142,339,167,322
154,335,169,336,146,344,141,339,167,321
154,335,170,336,146,344,141,339,167,321
155,335,170,336,146,344,140,339,167,321
155,335,170,336,146,344,140,339,168,321
157,335,171,336,146,344,140,339,170,321
156,336,171,336,146,344,140,339,171,321
156,336,172,336,145,344,140,339,171,321
155,336,173,336,145,344,139,339,172,321
155,336,174,335,145,344,138,340,174,321
154,335,175,335,145,344,137,340,176,321
153,336,171,338,144,343,137,340,176,322
152,336,172,338,144,343,137,340,178,322
