ball_1_x,ball_1_y,ball_2_x,ball_2_y,ball_3_x,ball_3_y
307,343,250,556,151,535
310,350,250,515,151,548
314,359,250,479,150,560
320,366,252,444,149,572
324,377,253,410,148,582
328,388,255,378,148,591
332,403,256,345,147,599
337,418,258,318,147,605
341,435,260,290,146,610
345,453,262,264,145,612
348,473,263,240,145,614
353,493,264,218,145,615
355,517,267,199,145,616
362,540,269,179,145,616
362,557,271,162,144,616
362,571,273,145,143,615
356,583,275,130,143,616
350,595,278,117,143,616
344,607,280,105,144,618
339,618,282,95,144,618
335,627,284,87,144,618
329,635,286,80,143,618
322,642,287,75,143,619
316,647,289,71,143,619
309,650,290,69,143,620
304,651,292,68,142,621
299,650,293,69,143,622
294,648,294,71,141,624
288,644,296,74,141,626
282,637,297,80,141,628
276,628,298,87,141,630
271,616,299,96,141,632
265,600,300,107,142,636
261,581,301,120,142,639
255,560,301,135,143,644
251,537,302,151,144,649
247,515,303,168,145,653
243,495,303,188,147,657
240,476,304,209,150,661
238,462,304,233,154,664
235,448,304,258,158,668
232,435,305,285,163,669
229,422,305,315,168,670
225,414,306,345,173,669
222,403,308,377,179,668
218,395,308,411,185,662
214,389,309,448,190,656
210,385,308,487,195,646
206,383,308,525,201,634
202,386,312,556,208,618
198,388,314,582,215,598
194,391,317,605,222,577
189,396,317,623,226,553
186,400,315,640,231,532
181,408,312,653,235,511
177,418,308,663,240,492
173,429,303,671,245,475
168,444,298,674,250,458
163,460,293,674,255,443
158,479,286,671,260,431
154,496,280,665,265,419
150,515,272,656,269,410
147,528,266,644,274,402
146,536,259,625,278,397
144,551,254,605,283,392
143,567,249,580,287,389
144,584,243,554,291,389
144,602,238,528,297,392
144,619,233,506,301,394
147,634,231,486,306,399
150,646,227,465,310,405
155,655,223,448,315,414
160,660,219,431,317,422
166,662,215,416,321,434
173,661,211,403,327,451
181,657,206,392,332,467
188,651,202,382,336,484
194,641,199,374,342,497
201,628,195,368,345,512
208,612,191,363,346,526
213,590,187,359,347,542
218,566,184,358,348,558
