ball_1_x,ball_1_y,ball_2_x,ball_2_y,ball_3_x,ball_3_y,ball_4_x,ball_4_y
470,664,388,340,486,220,280,436
459,662,383,304,490,224,276,490
447,651,379,272,494,232,276,542
448,628,374,244,499,245,262,567
445,594,369,220,504,263,265,587
448,550,364,200,509,285,277,604
451,506,360,186,512,314,304,629
455,460,354,175,516,346,327,635
459,417,349,168,521,383,350,644
463,380,343,166,526,424,372,651
466,346,338,168,530,472,389,654
470,316,332,175,534,522,402,655
474,291,326,188,533,576,409,646
477,270,322,204,530,603,414,622
481,253,316,227,525,628,416,583
485,240,310,254,515,650,414,534
489,231,305,286,503,666,414,490
492,228,299,322,490,673,412,446
496,229,293,367,479,673,411,408
500,235,287,416,472,664,409,374
504,245,282,472,467,646,407,343
508,261,282,520,465,615,404,317
512,281,275,542,464,564,402,294
516,307,274,565,469,514,399,276
520,338,286,590,471,469,397,262
524,373,310,615,475,424,395,252
528,416,341,637,478,382,393,246
536,467,374,655,480,343,392,244
539,509,405,671,483,309,390,248
548,539,430,680,486,279,389,256
557,566,442,677,489,254,387,269
559,598,450,659,492,232,385,287
554,631,453,626,497,212,383,310
543,664,450,570,500,199,381,337
531,689,450,503,504,190,379,370
518,703,448,440,507,186,377,408
509,704,446,382,511,187,375,451
505,695,443,328,514,192,372,500
502,673,440,277,518,202,370,549
501,638,437,229,522,217,366,574
503,592,433,183,526,238,365,599
504,533,430,143,529,263,367,625
502,479,427,106,533,294,370,653
504,419,425,74,536,331,372,680
505,362,421,45,540,373,374,705
505,313,419,21,544,420,372,731
507,269,416,6,548,471,371,759
508,229,12,20,553,516,368,789
508,189,10,16,565,538,368,827
510,154,10,16,575,568,373,872
511,125,10,16,581,606,382,915
512,102,10,16,579,647,395,954
514,82,10,18,576,688,411,978
516,67,396,3,572,740,426,991
517,57,393,14,566,782,439,994
516,54,390,38,564,824,449,990
520,48,387,65,562,866,458,976
522,50,381,99,554,902,463,955
524,57,377,139,543,938,467,920
526,69,376,187,538,967,465,871
528,86,372,243,529,982,461,813
530,107,368,303,520,985,456,767
531,133,365,370,510,981,449,714
532,164,361,444,500,971,446,668
534,203,357,524,491,957,439,625
536,248,353,614,484,933,433,590
538,294,353,693,480,892,428,559
540,348,342,804,486,835,421,533
540,405,336,840,490,784,416,512
542,469,346,876,494,733,410,497
542,538,361,906,502,681,405,485
544,610,379,930,507,637,400,478
545,685,399,947,514,595,395,477
545,772,415,955,519,559,390,480
546,832,424,955,526,524,386,488
541,874,430,945,531,495,381,501
535,906,431,927,536,471,376,518
526,928,427,891,543,452,371,540
518,941,431,851,548,437,367,566
508,946,431,802,553,428,362,597
498,943,428,759,559,425,357,632
491,933,424,719,565,426,353,672
486,918,421,683,570,432,348,716
483,884,418,652,576,444,345,756
484,839,413,625,582,461,348,782
487,786,411,603,588,484,348,811
493,739,407,585,594,512,353,848
495,691,404,572,600,544,364,885
498,641,401,563,605,584,380,912
502,603,399,558,611,628,399,930
506,567,396,558,615,678,416,934
509,537,395,563,621,732,430,928
515,509,392,572,615,771,438,909
519,486,390,586,607,800,443,879
522,468,387,602,595,830,445,832
526,455,383,624,582,859,443,785
529,446,382,652,569,885,441,744
533,441,378,681,553,908,439,700
536,440,376,720,538,920,439,662
540,445,380,740,525,925,436,627
543,454,377,752,512,922,433,597
546,468,377,770,504,910,430,571
549,486,378,797,500,888,427,548
552,509,384,829,499,848,424,530
555,536,398,862,501,802,422,516
558,567,412,892,504,759,419,506
561,602,429,913,508,719,417,501
563,642,445,923,511,678,415,500
568,686,457,922,516,644,413,504
568,733,464,911,521,613,411,513
573,785,468,890,524,587,408,527
572,819,467,855,529,565,406,546
566,852,468,808,532,546,404,570
557,882,468,757,536,532,401,599
547,906,466,709,540,524,399,633
537,916,463,664,543,519,396,671
527,916,461,629,547,520,393,715
515,902,456,593,550,525,389,761
510,872,452,562,553,534,387,802
508,827,448,535,557,550,384,832
510,775,445,511,561,570,383,862
511,726,442,492,564,595,386,891
519,677,439,477,568,625,392,916
523,630,436,466,571,658,402,935
526,591,432,460,574,698,413,952
532,553,430,459,576,741,425,963
536,521,426,463,582,786,438,969
541,493,423,472,582,830,449,970
546,469,419,485,574,856,456,968
550,449,417,506,568,898,461,953
553,434,413,528,564,928,467,915
558,423,409,557,552,955,466,822
562,416,405,593,541,968,462,748
566,414,401,633,527,967,465,662
572,418,396,677,514,953,464,574
574,424,395,739,503,913,462,496
578,435,392,767,498,840,459,424
581,452,395,785,503,750,458,355
585,472,396,805,510,638,456,290
588,497,401,819,510,558,454,230
592,529,409,831,515,470,452,175
596,561,412,841,519,382,450,122
600,602,413,850,524,302,449,76
603,641,413,859,527,228,447,35
601,671,411,869,532,154,445,5
594,676,408,875,536,87,8,8
577,678,402,877,542,25,6,14
528,698,396,877,10,16,6,14
450,720,393,871,12,18,6,10
404,726,387,864,12,18,6,10
384,712,398,858,12,18,6,8
394,708,408,850,12,16,6,10
414,712,416,842,14,16,6,10
28,18,20,18,14,16,8,10
28,20,14,22,14,16,8,8
28,20,14,22,12,16,8,8
26,20,14,24,12,18,8,8
26,18,10,24,12,18,8,6
536,772,20,14,12,16,6,6
546,778,556,897,12,16,6,8
558,784,549,918,10,14,421,6
560,806,532,940,10,14,419,36
570,820,517,952,12,16,418,76
568,840,513,953,12,16,417,122
568,866,518,937,10,16,416,172
566,888,523,903,10,16,414,227
552,912,525,848,10,14,413,286
542,920,527,794,10,16,411,349
532,930,525,741,12,16,409,417
522,930,525,689,12,18,408,490
514,928,523,645,14,18,406,566
514,922,519,601,14,18,403,647
516,904,517,561,14,18,401,732
524,872,514,524,661,49,393,780
529,818,512,491,665,118,392,810
532,757,510,462,670,194,399,837
535,705,509,437,674,271,407,864
540,656,507,417,680,357,415,889
